id,user_id,amount,category,description,date,type,merchant,needs_user_confirmation,ml_confidence,ml_suggested_categories,created_at,updated_at
770e8400-e29b-41d4-a716-446655440000,550e8400-e29b-41d4-a716-446655440000,75000,Salary,Monthly Salary - November,2025-11-01,income,ABC Tech Pvt Ltd,false,,,2025-11-01 09:00:00+00,2025-11-01 09:00:00+00
770e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440000,4500,Groceries,Weekly Grocery Shopping,2025-11-02,expense,BigBasket,false,,,2025-11-02 10:30:00+00,2025-11-02 10:30:00+00
770e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440000,15000,Rent,Monthly Rent Payment,2025-11-05,expense,Landlord - Apartment,false,,,2025-11-05 14:00:00+00,2025-11-05 14:00:00+00
770e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440000,850,Dining,Dinner at Italian Restaurant,2025-11-06,expense,Italian Bistro,false,,,2025-11-06 20:15:00+00,2025-11-06 20:15:00+00
770e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440000,1200,Entertainment,Movie Tickets & Snacks,2025-11-07,expense,PVR Cinemas,false,,,2025-11-07 18:45:00+00,2025-11-07 18:45:00+00
770e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440000,450,Transportation,Uber Rides,2025-11-08,expense,Uber,false,,,2025-11-08 11:20:00+00,2025-11-08 11:20:00+00
770e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440000,2500,Shopping,New Shirt and Jeans,2025-11-09,expense,Zara,false,,,2025-11-09 16:30:00+00,2025-11-09 16:30:00+00
770e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440000,1800,Healthcare,Doctor Consultation,2025-11-10,expense,Apollo Clinic,false,,,2025-11-10 10:00:00+00,2025-11-10 10:00:00+00
770e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440000,3200,Groceries,Weekly Grocery Shopping,2025-11-11,expense,DMart,false,,,2025-11-11 11:00:00+00,2025-11-11 11:00:00+00
770e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440000,650,Dining,Lunch at Cafe,2025-11-12,expense,Starbucks,false,,,2025-11-12 13:30:00+00,2025-11-12 13:30:00+00
770e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440000,1500,Education,Online Course Subscription,2025-11-13,expense,Udemy,false,,,2025-11-13 09:15:00+00,2025-11-13 09:15:00+00
770e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440001,65000,Salary,Monthly Salary - November,2025-11-01,income,XYZ Corp,false,,,2025-11-01 09:00:00+00,2025-11-01 09:00:00+00
770e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440001,3800,Groceries,Grocery Shopping,2025-11-03,expense,Reliance Fresh,false,,,2025-11-03 15:30:00+00,2025-11-03 15:30:00+00
770e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440001,12000,Rent,Rent Payment,2025-11-05,expense,Property Owner,false,,,2025-11-05 10:00:00+00,2025-11-05 10:00:00+00
770e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440001,2200,Entertainment,Concert Tickets,2025-11-08,expense,BookMyShow,false,,,2025-11-08 19:00:00+00,2025-11-08 19:00:00+00
770e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655440001,950,Dining,Dinner with Friends,2025-11-10,expense,BBQ Nation,false,,,2025-11-10 20:30:00+00,2025-11-10 20:30:00+00
